domain;phylum;className;order;family;genus;COLA1;COLB1;N2A;N2B;N3C1;N1C
Eukaryota;unclassified (derived from Eukaryota);Bangiophyceae;Cyanidiales;Cyanidiaceae;Cyanidium;0;0;0;1;1;1
Bacteria;Cyanobacteria;unclassified (derived from Cyanobacteria);Chroococcales;unclassified (derived from Chroococcales);Cyanobium;1;1;3;1;3;1
Eukaryota;unclassified (derived from Eukaryota);Glaucocystophyceae;unclassified (derived from Glaucocystophyceae);Cyanophoraceae;Cyanophora;0;0;1;0;1;0
Bacteria;Cyanobacteria;unclassified (derived from Cyanobacteria);Chroococcales;unclassified (derived from Chroococcales);Cyanothece;358;624;165;281;399;458
Eukaryota;Streptophyta;Cycadopsida;Cycadales;Cycadaceae;Cycas;7;2;7;7;0;1
Eukaryota;Chordata;unclassified (derived from Chordata);Squamata;Cylindrophiidae;Cylindrophis;0;0;0;0;1;0
Bacteria;Cyanobacteria;unclassified (derived from Cyanobacteria);Nostocales;Nostocaceae;Cylindrospermopsis;2;4;1;0;1;0
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Cytophaga;31;157;56;142;50;30
Eukaryota;Chordata;Actinopterygii;Esociformes;Umbridae;Dallia;0;1;0;0;0;0
Eukaryota;Chordata;Actinopterygii;Cypriniformes;Cyprinidae;Danio;19;759;17;81;34;60
Eukaryota;Chordata;Mammalia;Cingulata;Dasypodidae;Dasypus;0;0;0;0;0;1
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Apiales;Apiaceae;Daucus;3;0;1;15;0;3
Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces;9;52;12;19;28;167
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Dechloromonas;57;122;99;140;67;83
Bacteria;Deferribacteres;Deferribacteres (class);Deferribacterales;Deferribacteraceae;Deferribacter;3;30;3;21;7;6
Bacteria;Chloroflexi;Dehalococcoidetes;unclassified (derived from Dehalococcoidetes);unclassified (derived from Dehalococcoidetes);Dehalococcoides;17;77;22;58;37;25
Bacteria;Chloroflexi;Dehalococcoidetes;unclassified (derived from Dehalococcoidetes);unclassified (derived from Dehalococcoidetes);Dehalogenimonas;4;12;4;9;7;4
Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae;Deinococcus;155;336;86;65;202;135
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia;60;385;350;509;210;94
Eukaryota;Streptophyta;Liliopsida;Poales;Poaceae;Dendrocalamus;0;0;0;0;1;0
Bacteria;Deferribacteres;Deferribacteres (class);Deferribacterales;Deferribacteraceae;Denitrovibrio;1;27;9;16;8;9
Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Dermacoccaceae;Dermacoccus;76;144;251;139;173;106
Eukaryota;Arthropoda;Arachnida;Astigmata;Pyroglyphidae;Dermatophagoides;1;1;0;2;0;0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfarculales;Desulfarculaceae;Desulfarculus;0;8;5;3;8;6
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfatibacillum;6;21;32;26;14;12
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfitobacterium;73;311;18;280;159;138
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfobacterium;2;26;11;8;8;7
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfococcus;5;83;26;31;11;12
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfohalobiaceae;Desulfohalobium;8;7;9;5;6;5
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfomicrobiaceae;Desulfomicrobium;4;23;26;25;9;10
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfohalobiaceae;Desulfonatronospira;1;8;3;5;1;20
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfotalea;3;49;23;23;34;38
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfotomaculum;52;209;22;140;116;95
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;55;173;109;144;163;121
Bacteria;Chrysiogenetes;Chrysiogenetes (class);Chrysiogenales;Chrysiogenaceae;Desulfurispirillum;5;17;18;13;5;7
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfurivibrio;10;26;57;16;5;5
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Desulfurococcus;0;1;3;1;0;0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Desulfuromonas;4;36;21;21;22;19
Bacteria;Firmicutes;Clostridia;Clostridiales;Syntrophomonadaceae;Dethiobacter;3;14;1;8;18;5
Bacteria;Synergistetes;Synergistia;Synergistales;Synergistaceae;Dethiosulfovibrio;5;39;3;17;25;18
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Dialister;32;154;3;82;80;108
Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae;Dichelobacter;11;140;9;30;44;65
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Dickeya;16;111;57;70;46;124
Bacteria;Dictyoglomi;Dictyoglomia;Dictyoglomales;Dictyoglomaceae;Dictyoglomus;13;50;4;26;17;26
Eukaryota;unclassified (derived from Eukaryota);unclassified (derived from Eukaryota);Dictyosteliida;unclassified (derived from Dictyosteliida);Dictyostelium;29;229;17;62;43;65
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Dinoroseobacter;10;35;33;24;20;24
Eukaryota;Streptophyta;Liliopsida;Dioscoreales;Dioscoreaceae;Dioscorea;9;5;0;2;0;2
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Dokdonia;10;75;17;46;19;21
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea;45;604;17;712;320;100
Eukaryota;Ascomycota;Dothideomycetes;Dothideales;Dothideaceae;Dothidea;0;0;0;1;0;0
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Brassicales;Brassicaceae;Draba;244;2;1;0;0;0
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Canellales;Winteraceae;Drimys;1;1;0;1;0;3
Eukaryota;Arthropoda;Insecta;Diptera;Drosophilidae;Drosophila;386;2262;8156;277;337;448
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Dyadobacter;17;120;52;98;56;54
Viruses;unclassified (derived from Viruses);unclassified (derived from Viruses);unclassified (derived from Viruses);Papillomaviridae;Dyoetapapillomavirus;0;1;0;0;1;0
Eukaryota;Chordata;Mammalia;Insectivora;Erinaceidae;Echinosorex;0;3;0;0;0;0
Eukaryota;Chordata;Mammalia;Peramelemorphia;Peroryctidae;Echymipera;0;0;0;0;1;0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Edwardsiella;16;48;38;31;25;53
Bacteria;Actinobacteria;Actinobacteria (class);Coriobacteriales;Coriobacteriaceae;Eggerthella;15;182;6;174;171;55
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Ehrlichia;3;4;3;1;3;4
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Eikenella;5;168;13;34;46;113
Eukaryota;Apicomplexa;Coccidia;Eucoccidiorida;Eimeriidae;Eimeria;0;0;0;1;0;0
Bacteria;Elusimicrobia;Elusimicrobia (class);Elusimicrobiales;Elusimicrobiaceae;Elusimicrobium;1;9;4;11;9;6
Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Emericella;40;102;24;49;35;91
Eukaryota;unclassified (derived from Eukaryota);unclassified (derived from Eukaryota);Isochrysidales;Noelaerhabdaceae;Emiliania;1;0;0;0;0;0
Eukaryota;Microsporidia;unclassified (derived from Microsporidia);unclassified (derived from Microsporidia);Unikaryonidae;Encephalitozoon;2;9;0;2;0;2
Eukaryota;unclassified (derived from Fungi);unclassified (derived from Fungi);Endogonales;Endogonaceae;Endogone;0;17;11;2;4;11
Bacteria;Proteobacteria;Gammaproteobacteria;unclassified (derived from Gammaproteobacteria);unclassified (derived from Gammaproteobacteria);Endoriftia;8;12;18;10;9;9
Eukaryota;Ascomycota;Dothideomycetes;Myriangiales;unclassified (derived from Myriangiales);Endosporium;0;0;1;0;0;0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Enhydrobacter;606;1188;662;538;167;143
Eukaryota;unclassified (derived from Eukaryota);unclassified (derived from Eukaryota);unclassified (derived from Eukaryota);unclassified (derived from Eukaryota);Entamoeba;5;65;6;11;7;0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Enterobacter;437;739;226;251;309;1040
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;459;1539;133;980;740;450
Eukaryota;Microsporidia;unclassified (derived from Microsporidia);unclassified (derived from Microsporidia);Enterocytozoonidae;Enterocytozoon;0;8;6;12;1;3
Eukaryota;Basidiomycota;Agaricomycetes;Agaricales;Entolomataceae;Entoloma;0;0;0;0;0;2
Eukaryota;Ascomycota;Eurotiomycetes;Onygenales;Arthrodermataceae;Epidermophyton;0;0;0;1;1;0
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Lamiales;Orobanchaceae;Epifagus;0;0;0;1;0;0
Eukaryota;Chordata;Mammalia;Insectivora;Soricidae;Episoriculus;1;0;0;1;0;0
Viruses;unclassified (derived from Viruses);unclassified (derived from Viruses);Caudovirales;Podoviridae;Epsilon15-like viruses;1;2;1;1;0;2
Bacteria;Firmicutes;Clostridia;Clostridiales;unclassified (derived from Clostridiales);Epulopiscium;1;13;1;10;2;2
Eukaryota;Streptophyta;Equisetopsida;Equisetales;Equisetaceae;Equisetum;3;0;0;1;0;0
Eukaryota;Chordata;Mammalia;Perissodactyla;Equidae;Equus;9;94;2;12;9;15
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Eremococcus;82;65;9;36;106;26
Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Eremothecium;14;132;15;41;55;134
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Geraniales;Geraniaceae;Erodium;7;0;0;0;0;0
Eukaryota;Chordata;Actinopterygii;Polypteriformes;Polypteridae;Erpetoichthys;0;1;0;0;0;0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Erwinia;36;341;63;68;83;326
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Erysipelothrix;5;8;1;8;4;5
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Erythrobacter;38;647;535;384;93;147
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia;378;10239;3601;2282;618;1899
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ethanoligenens;16;288;6;361;142;42
Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;319;6969;125;4419;2836;1069
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Myrtales;Myrtaceae;Eucalyptus;21;3;4;1;0;10
Eukaryota;Euglenida;unclassified (derived from Euglenida);Euglenales;unclassified (derived from Euglenales);Euglena;0;0;0;1;0;1
Bacteria;Firmicutes;Bacilli;Bacillales;unclassified (derived from Bacillales);Exiguobacterium;224;191;39;104;63;54
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;138;2433;60;2860;1496;373
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Caryophyllales;Polygonaceae;Fagopyrum;10;1;2;3;0;0
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Ferrimonadaceae;Ferrimonas;7;18;16;12;7;4
Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Ferroglobus;0;3;0;1;0;2
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Ferroplasmaceae;Ferroplasma;0;3;0;1;2;1
Bacteria;Thermotogae;Thermotogae (class);Thermotogales;Thermotogaceae;Fervidobacterium;14;40;2;14;9;12
Eukaryota;Streptophyta;Liliopsida;Poales;Poaceae;Festuca;20;1;0;4;0;3
Bacteria;Fibrobacteres;Fibrobacteres (class);Fibrobacterales;Fibrobacteraceae;Fibrobacter;9;77;3;59;32;15
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Filifactor;5;95;2;28;18;28
Eukaryota;Basidiomycota;Tremellomycetes;Tremellales;Tremellaceae;Filobasidiella;90;872;94;273;231;571
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales Family XI. Incertae Sedis;Finegoldia;419;2711;204;1729;791;1135
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Flavobacterium;114;714;126;566;172;203
Eukaryota;Echinodermata;Crinoidea;Comatulida;Antedonidae;Florometra;0;0;0;0;0;1
Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Fluoribacter;0;0;0;0;0;1
Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Francisellaceae;Francisella;22;36;15;20;15;16
Eukaryota;Chordata;Aves;Galliformes;Phasianidae;Francolinus;0;0;0;0;0;1
Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Frankiaceae;Frankia;118;806;208;311;562;667
Eukaryota;Ascomycota;Dothideomycetes;Capnodiales;unclassified (derived from Capnodiales);Friedmanniomyces;0;0;0;1;0;0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Aurantimonadaceae;Fulvimarina;6;18;9;7;8;3
Bacteria;Fusobacteria;Fusobacteria (class);Fusobacteriales;Fusobacteriaceae;Fusobacterium;378;8137;210;1033;1047;1549
Bacteria;Proteobacteria;Betaproteobacteria;Gallionellales;Gallionellaceae;Gallionella;5;37;16;24;13;29
Eukaryota;Chordata;Aves;Galliformes;Phasianidae;Gallus;56;737;28;51;210;353
Eukaryota;Chordata;unclassified (derived from Chordata);Squamata;Iguanidae;Gambelia;0;1;0;0;0;0
Viruses;unclassified (derived from Viruses);unclassified (derived from Viruses);unclassified (derived from Viruses);Papillomaviridae;Gammapapillomavirus;1;21;0;5;35;9
Viruses;unclassified (derived from Viruses);unclassified (derived from Viruses);unclassified (derived from Viruses);Retroviridae;Gammaretrovirus;2;12;1;2;5;1
Bacteria;Actinobacteria;Actinobacteria (class);Bifidobacteriales;Bifidobacteriaceae;Gardnerella;55;645;79;292;815;140
Bacteria;Firmicutes;Bacilli;Bacillales;unclassified (derived from Bacillales);Gemella;181;2696;197;2144;685;584
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Gemmata;0;76;13;15;13;3
Bacteria;Gemmatimonadetes;Gemmatimonadetes (class);Gemmatimonadales;Gemmatimonadaceae;Gemmatimonas;7;33;21;38;13;19
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Geobacillus;1267;532;110;889;234;160
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geobacter;46;225;78;144;96;107
Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Geodermatophilaceae;Geodermatophilus;73;300;121;176;214;351
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Geraniales;Geraniaceae;Geranium;8;0;0;0;0;1
Eukaryota;unclassified (derived from Eukaryota);unclassified (derived from Eukaryota);unclassified (derived from Eukaryota);Hexamitidae;Giardia;1;2;4;3;0;0
Eukaryota;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Gibberella;217;642;74;880;199;343
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Glaciecola;0;0;2;0;0;0
Bacteria;Cyanobacteria;Gloeobacteria;Gloeobacterales;unclassified (derived from Gloeobacterales);Gloeobacter;10;32;25;51;32;24
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Gluconacetobacter;10;46;37;20;29;32
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Gluconobacter;12;40;29;18;30;21
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Fabales;Fabaceae;Glycine;7;8;3;8;4;12
Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Gordoniaceae;Gordonia;171;1462;130;301;479;976
Eukaryota;Chordata;Mammalia;Primates;Hominidae;Gorilla;0;1;1;0;0;0
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Malvales;Malvaceae;Gossypium;24;0;6;6;0;2
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Gramella;35;283;52;191;70;107
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Granulibacter;7;38;28;21;23;38
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;164;1841;174;1200;1057;646
Eukaryota;unclassified (derived from Eukaryota);Cryptophyta;Pyrenomonadales;Geminigeraceae;Guillardia;0;1;0;1;0;2
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Asterales;Asteraceae;Guizotia;2;1;4;3;1;0
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;547;5344;344;3072;1984;1544
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Hafnia;0;1;0;0;0;0
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Hahellaceae;Hahella;25;113;147;101;33;50
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halalkalicoccus;4;6;13;11;4;3
Bacteria;Firmicutes;Clostridia;Halanaerobiales;Halanaerobiaceae;Halanaerobium;4;89;2;14;12;12
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Haliangiaceae;Haliangium;6;101;15;12;26;42
Eukaryota;Chordata;Mammalia;Carnivora;Phocidae;Halichoerus;0;1;0;0;0;0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Haloarcula;3;30;13;17;22;32
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacterium;1;24;8;14;9;1
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Haloferax;1;14;1;2;0;2
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halogeometricum;2;7;3;4;2;4
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halomicrobium;3;1;6;2;2;4
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas;26;74;253;92;31;33
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Haloquadratum;0;5;4;5;0;4
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halorhabdus;4;1;4;4;2;3
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Halorhodospira;9;33;62;32;31;14
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halorubrum;2;6;4;4;2;0
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Haloterrigena;1;1;3;1;1;3
Bacteria;Firmicutes;Clostridia;Halanaerobiales;Halanaerobiaceae;Halothermothrix;4;129;9;42;29;19
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Halothiobacillaceae;Halothiobacillus;8;15;28;23;10;9
Eukaryota;Chytridiomycota;Monoblepharidomycetes;Monoblepharidales;Harpochytriaceae;Harpochytrium;0;0;0;0;0;1
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Asterales;Asteraceae;Helianthus;22;4;3;6;1;1
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;22;100;14;72;49;48
Bacteria;Firmicutes;Clostridia;Clostridiales;Heliobacteriaceae;Heliobacterium;18;80;18;80;47;27
Eukaryota;Chordata;Actinopterygii;Cypriniformes;Cyprinidae;Hemibarbus;1;0;0;0;0;0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Herbaspirillum;23;298;149;274;50;41
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Herminiimonas;35;290;159;283;54;54
Bacteria;Chloroflexi;Chloroflexi (class);Herpetosiphonales;Herpetosiphonaceae;Herpetosiphon;14;40;17;28;20;28
Eukaryota;Chordata;Mammalia;unclassified (derived from Mammalia);Hippopotamidae;Hippopotamus;0;0;0;0;1;0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Hyphomonadaceae;Hirschia;1;21;7;8;12;2
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Histophilus;35;377;36;149;170;127
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Hoeflea;4;8;13;3;20;7
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Holdemania;27;270;7;242;136;53
Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;12829;12448;5362;6295;15496;16882
Eukaryota;Streptophyta;Liliopsida;Poales;Poaceae;Hordeum;0;0;0;3;0;0
Eukaryota;Streptophyta;Lycopodiopsida;Lycopodiales;Lycopodiaceae;Huperzia;0;0;0;1;0;0
Eukaryota;Arthropoda;Insecta;Hemiptera;Coreidae;Hydaropsis;0;0;3;0;0;0
Eukaryota;Cnidaria;Hydrozoa;Hydroida;Hydridae;Hydra;6;110;20;35;6;8
Bacteria;Aquificae;Aquificae (class);Aquificales;Aquificaceae;Hydrogenivirga;1;8;1;4;2;3
Bacteria;Aquificae;Aquificae (class);Aquificales;Aquificaceae;Hydrogenobacter;2;3;1;4;4;4
Bacteria;Aquificae;Aquificae (class);Aquificales;Aquificaceae;Hydrogenobaculum;3;12;1;2;4;2
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Hyperthermus;0;2;2;1;0;0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Hyphomicrobium;4;18;11;16;23;19
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Hyphomonadaceae;Hyphomonas;14;58;33;37;15;21
Eukaryota;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Hypocrea;2;2;3;11;3;3
Viruses;unclassified (derived from Viruses);unclassified (derived from Viruses);unclassified (derived from Viruses);Polydnaviridae;Ichnovirus;0;1;1;0;1;0
Viruses;unclassified (derived from Viruses);unclassified (derived from Viruses);Herpesvirales;Alloherpesviridae;Ictalurivirus;0;1;0;0;0;0
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Idiomarinaceae;Idiomarina;18;104;97;50;41;23
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Ignicoccus;0;2;0;0;1;3
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Ignisphaera;0;0;0;1;1;0
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Austrobaileyales;Schisandraceae;Illicium;1;2;1;0;0;0
Bacteria;Fusobacteria;Fusobacteria (class);Fusobacteriales;Fusobacteriaceae;Ilyobacter;6;67;3;33;29;22
Viruses;unclassified (derived from Viruses);unclassified (derived from Viruses);unclassified (derived from Viruses);Inoviridae;Inovirus;0;2;1;0;0;2
Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Intrasporangiaceae;Intrasporangium;34;207;87;133;184;178
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Solanales;Convolvulaceae;Ipomoea;0;2;1;2;0;1
Eukaryota;Streptophyta;Isoetopsida;Isoetales;Isoetaceae;Isoetes;9;0;0;0;0;0
Eukaryota;Arthropoda;Arachnida;Ixodida;Ixodidae;Ixodes;96;1824;47;53;144;158
Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Intrasporangiaceae;Janibacter;86;504;187;241;348;342
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Jannaschia;14;25;42;23;20;9
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Janthinobacterium;27;411;254;414;84;75
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Lamiales;Oleaceae;Jasminum;21;0;0;2;1;3
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Malpighiales;Euphorbiaceae;Jatropha;7;3;1;6;1;1
Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Jonesiaceae;Jonesia;98;476;76;119;338;384
Bacteria;Synergistetes;Synergistia;Synergistales;Synergistaceae;Jonquetella;8;16;4;10;5;0
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Alcanivoracaceae;Kangiella;8;15;42;21;9;11
Eukaryota;Streptophyta;Coniferopsida;Coniferales;Pinaceae;Keteleeria;1;0;1;4;0;0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Ketogulonicigenium;9;20;29;7;16;10
Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Kineosporiaceae;Kineococcus;174;1124;205;352;618;647
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella;11;153;21;34;62;112
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Klebsiella;326;1043;273;335;1642;5806
Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kluyveromyces;8;49;9;22;44;68
Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Micrococcaceae;Kocuria;216;808;281;461;897;810
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Kordia;3;14;2;17;7;12
Bacteria;Thermotogae;Thermotogae (class);Thermotogales;Thermotogaceae;Kosmotoga;4;19;1;13;4;6
Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Nocardioidaceae;Kribbella;96;1025;185;335;502;515
Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;Ktedonobacter;13;47;41;41;25;16
Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Dermacoccaceae;Kytococcus;146;456;185;216;568;380
Viruses;unclassified (derived from Viruses);unclassified (derived from Viruses);Caudovirales;Siphoviridae;L5-like viruses;1;4;0;3;3;1
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Labrenzia;9;26;31;25;28;7
Eukaryota;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;Laccaria;15;102;22;23;19;74
Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Lachancea;6;4;0;13;16;12
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;695;6279;352;2343;6694;1194
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;250;1794;232;767;1143;775
