domain;phylum;className;order;family;genus;COLA1;COLB1;N2A;N2B;N3C1;N1C
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Bibersteinia;1;0;0;1;0;0
Bacteria;Actinobacteria;Actinobacteria (class);Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;196;1878;257;2547;1134;1077
Eukaryota;Chordata;Mammalia;unclassified (derived from Mammalia);Bovidae;Bison;0;3;0;0;0;1
Eukaryota;Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Blastocladiaceae;Blastocladiella;2;3;1;0;0;4
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Blastopirellula;11;78;27;17;37;47
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Blattabacteriaceae;Blattabacterium;1;3;1;3;3;0
Bacteria;Firmicutes;Clostridia;Clostridiales;unclassified (derived from Clostridiales);Blautia;23;325;6;463;194;57
Eukaryota;Ascomycota;Leotiomycetes;unclassified (derived from Leotiomycetes);Erysiphaceae;Blumeria;0;0;1;0;0;0
Eukaryota;Chytridiomycota;Chytridiomycetes;Rhizophydiales;Terramycetaceae;Boothiomyces;0;3;0;0;0;0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;96;564;1222;757;162;195
Bacteria;Spirochaetes;Spirochaetes (class);Spirochaetales;Spirochaetaceae;Borrelia;3;12;2;9;3;6
Eukaryota;Chordata;Mammalia;unclassified (derived from Mammalia);Bovidae;Bos;62;7166;49;285;126;452
Eukaryota;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;Botryosphaeria;4;0;0;0;0;0
Eukaryota;Ascomycota;Leotiomycetes;Helotiales;Sclerotiniaceae;Botryotinia;16;28;6;23;5;26
Viruses;unclassified (derived from Viruses);unclassified (derived from Viruses);Caudovirales;Podoviridae;Bpp-1-like viruses;2;1;13;7;1;1
Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Dermabacteraceae;Brachybacterium;155;1005;252;345;820;707
Eukaryota;Streptophyta;Liliopsida;Poales;Poaceae;Brachypodium;0;1;0;1;0;0
Bacteria;Spirochaetes;Spirochaetes (class);Spirochaetales;Brachyspiraceae;Brachyspira;12;118;12;57;61;45
Eukaryota;Chordata;Mammalia;Pilosa;Bradypodidae;Bradypus;1;0;0;0;0;0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium;75;688;530;492;678;406
Eukaryota;Chordata;unclassified (derived from Chordata);unclassified (derived from Chordata);Branchiostomidae;Branchiostoma;12;419;8;21;24;41
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Brassicales;Brassicaceae;Brassica;38;5;2;8;2;1
Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;unclassified (derived from Saccharomycetales);Brettanomyces;0;1;2;0;0;0
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Brevibacillus;88;71;17;56;30;18
Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Brevibacteriaceae;Brevibacterium;459;1243;451;692;3062;1180
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;71;115;190;159;52;112
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Brucellaceae;Brucella;48;185;90;75;129;68
Eukaryota;Nematoda;Chromadorea;Spirurida;Onchocercidae;Brugia;20;98;10;6;41;40
Eukaryota;Chlorophyta;Ulvophyceae;Bryopsidales;Bryopsidaceae;Bryopsis;0;0;1;1;0;0
Eukaryota;Chordata;Mammalia;unclassified (derived from Mammalia);Bovidae;Bubalus;0;0;0;1;0;0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Buchnera;9;13;7;6;9;7
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Bulleidia;9;88;8;48;60;37
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;303;2914;1634;2005;2759;972
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Butyrivibrio;43;534;16;532;269;106
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Buxales;Buxaceae;Buxus;35;1;7;5;2;4
Eukaryota;Nematoda;Chromadorea;Rhabditida;Rhabditidae;Caenorhabditis;25;371;19;26;41;69
Eukaryota;unclassified (derived from Eukaryota);unclassified (derived from Eukaryota);Bicosoecida;Cafeteriaceae;Cafeteria;0;0;0;0;0;1
Eukaryota;Chordata;Aves;Anseriformes;Anatidae;Cairina;0;0;0;0;0;1
Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Caldanaerobacter;81;156;15;146;86;56
