"";"domain";"phylum";"className";"order";"family";"genus";"COLA1";"COLB1";"N2A";"N2B";"N3C1";"N1C"
"702";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Bradyrhizobiaceae";"Oligotropha";0,00421364439911613;0,00604061807136834;0,0108848891905527;0,00827491564292599;0,0076427828928592;0,0048872316675905
"703";"Eukaryota";"Streptophyta";"unclassified (derived from Streptophyta)";"Brassicales";"Brassicaceae";"Olimarabidopsis";0,0244246033848251;0,00122038914309216;0,00296249160262115;0;0;0
"704";"Bacteria";"Actinobacteria";"Actinobacteria (class)";"Coriobacteriales";"Coriobacteriaceae";"Olsenella";0,00498565128855637;0,00941362336214617;0,00554231429410161;0,0148185616216114;0,0136614010954372;0,0117474429150459
"705";"Eukaryota";"Streptophyta";"Liliopsida";"Asparagales";"Orchidaceae";"Oncidium";0;0;0;0,00217309931057546;0;0,00115193155112763
"706";"Eukaryota";"Chordata";"Actinopterygii";"Salmoniformes";"Salmonidae";"Oncorhynchus";0,00188439906188698;0,00366116742927647;0;0,00153661325869972;0;0
"707";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Ophionectria";0,00188439906188698;0;0;0;0;0
"708";"Bacteria";"Verrucomicrobia";"Opitutae";"unclassified (derived from Opitutae)";"Opitutaceae";"Opitutus";0,00376879812377397;0,00610194571546079;0,00662433260623319;0,00909072663423623;0,00413475915530811;0,00431013319733465
"709";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"Oribacterium";0,0109878402805546;0,0157236142046228;0,00888747480786346;0,0185669686485037;0,0146672288456643;0,0158364405853507
"710";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rickettsiales";"Rickettsiaceae";"Orientia";0;0,00172589087753381;0;0;0;0,00199520397339468
"711";"Bacteria";"Bacteroidetes";"Flavobacteria";"Flavobacteriales";"Flavobacteriaceae";"Ornithobacterium";0;0,000862945438766905;0,00209479790142162;0,00153661325869972;0;0
"712";"Eukaryota";"Chordata";"Mammalia";"Monotremata";"Ornithorhynchidae";"Ornithorhynchus";0,00705077566953932;0,00762132775587766;0,00418959580284324;0,0072073550453588;0,00596801077837852;0,00661734295997638
"713";"Viruses";"unclassified (derived from Viruses)";"unclassified (derived from Viruses)";"unclassified (derived from Viruses)";"Poxviridae";"Orthopoxvirus";0,00188439906188698;0,0014946653441041;0;0;0,0011936021556757;0,00115193155112763
"714";"Eukaryota";"Arthropoda";"Insecta";"Hymenoptera";"Orussidae";"Orussus";0;0,000862945438766905;0;0;0;0
"715";"Eukaryota";"Chordata";"Mammalia";"Lagomorpha";"Leporidae";"Oryctolagus";0,00498565128855637;0,00695728855005737;0,00362829639685091;0;0,00292371623729153;0,0051515945074963
"716";"Eukaryota";"Streptophyta";"Liliopsida";"Poales";"Poaceae";"Oryza";0,0261789084210367;0,00836656644311924;0,0182620247188758;0,0179855970719132;0,00685672235832192;0,0104945958842689
"717";"Eukaryota";"Chordata";"Actinopterygii";"Beloniformes";"Adrianichthyidae";"Oryzias";0;0,000862945438766905;0;0;0;0
"718";"Eukaryota";"Porifera";"Demospongiae";"Homosclerophorida";"Plakinidae";"Oscarella";0;0;0;0;0,0011936021556757;0
"719";"Bacteria";"Cyanobacteria";"unclassified (derived from Cyanobacteria)";"Oscillatoriales";"unclassified (derived from Oscillatoriales)";"Oscillatoria";0,00326387491692339;0,00272887308295678;0,00362829639685091;0,0072073550453588;0,00206737957765406;0,00199520397339468
"720";"Bacteria";"Chloroflexi";"Chloroflexi (class)";"Chloroflexales";"Oscillochloridaceae";"Oscillochloris";0,00498565128855637;0,00456627805198949;0,00362829639685091;0,00434619862115092;0,00584743247458306;0,00325815444506033
"721";"Viruses";"unclassified (derived from Viruses)";"unclassified (derived from Viruses)";"Herpesvirales";"Malacoherpesviridae";"Ostreavirus";0;0,000862945438766905;0;0;0;0
"722";"Eukaryota";"Chlorophyta";"Prasinophyceae";"Mamiellales";"unclassified (derived from Mamiellales)";"Ostreococcus";0,00624984464357683;0,00488155657236863;0,00513118597273599;0,00406549654380401;0,00206737957765406;0,00304772441165259
"723";"Eukaryota";"Chordata";"Mammalia";"Primates";"Galagidae";"Otolemur";0;0;0;0;0;0,00115193155112763
"724";"Eukaryota";"Chordata";"Mammalia";"unclassified (derived from Mammalia)";"Bovidae";"Ovis";0;0,0014946653441041;0;0;0;0,00115193155112763
"725";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Burkholderiales";"Oxalobacteraceae";"Oxalobacter";0,00595899305624746;0,00622278805480369;0,0110846285882032;0,0127640683627914;0,0043035937747931;0,00446141171348818
"726";"Viruses";"unclassified (derived from Viruses)";"unclassified (derived from Viruses)";"Caudovirales";"Myoviridae";"P1-like viruses";0,00188439906188698;0,00448399603231229;0,00362829639685091;0,00217309931057546;0,00168800835663434;0,00162907722253017
